repo,user,organization,url (HTML),url (API),description,readme,stargazer count,watcher count,subscriber count,open issue count,topic (search),topics,NAICS Code
salmanqaiser821,Buildingsurvey,,https://github.com/salmanqaiser821/Buildingsurvey,https://api.github.com/repos/Buildingsurvey/salmanqaiser821,"Building Survey Management System is a web-enabled system that makes it easy to create, manage, and publish expert surveys.","# moxxconstruction
Moxx.co.ke Construction website. It encompasses marketing and ways through which clients can reach Moxx organization. 

[![Netlify Status](https://api.netlify.com/api/v1/badges/6db942dc-e636-4f7f-9c1e-aaeac693e0be/deploy-status)](https://app.netlify.com/sites/moxx/deploys)
",3,3,1,0,construction-management,"[civil-engineering-materials, computer-science, construction-management, webdesigning, webdevelopment]",23
yuantsai1115,ar.camera.receiver,,https://github.com/yuantsai1115/ar.camera.receiver,https://api.github.com/repos/ar.camera.receiver/yuantsai1115,It is a proof of concept for mixed collaboration between site engineers and officers power by AR and WebSocket..,"# AR Camera for Mixed Collaboration - Receiver

## Introduction
It is a proof of concept for mixed collaboration between site engineers and officers. Site engieers can stream live location to the BIM model with mobile application. Then, the officers view the live location of site engineers on BIM model with receiver application. This help the site engieers and officers remotely collaborate which benefits the construction management as most experienced engineers and officers need to look after multiple sites. 

| <video src=""https://user-images.githubusercontent.com/119405090/218675712-1654923e-1d4c-4b18-9b0a-0816db121409.mp4""> |  <video src=""https://user-images.githubusercontent.com/119405090/218676350-b36db086-cb4b-45ca-ba04-26085498ae35.mp4""> | 
|:--:| :--:| 
| *Mobile streaming relative location to model* | *Receiver showing live location on model* |

*Please refer to all three repositories to run this application.*
- https://github.com/yuantsai1115/ar.camera.mobile
- https://github.com/yuantsai1115/ar.camera.backend
- https://github.com/yuantsai1115/ar.camera.receiver

## Research Gaps
Real-time data exchange between site engineers and officers is essential yet severe as most methods on the market only support video, image or voice which is not enough for remote collaboration. The location, viewing targets, camera poses, trajectories are all missing which blocks the officers understanding the site condition. This research proposes mixed collaboration approach which streams live data of site engineers to office. Officers can easily track all site engineers and collaborate with them remotely on BIM model which serves as a virtual site for visualising the live data. 

| <img src=""https://user-images.githubusercontent.com/119405090/218685030-0decbf94-2b6f-47b0-9b6f-8952342bdb8e.jpg"" width=""600""> |
|:--:|
| *Research gaps for mixed collaboration* |

## Possibilities
The office can be a situation room which accommodates all the live data from multiple site engieers on the BIM model. Also, the officers can send information or commands to site engineers by AR camera on mobile. The information then is displayed on the physical position. On the other hand, the site engineers can also do the measurement and show the result on BIM model for officers. It can benefit the remote communication and collaboration especially for the geographical limitation scenarios.

| <img src=""https://user-images.githubusercontent.com/119405090/218685044-a53f42b7-0805-4f39-a4a7-65114df3da92.jpg"" width=""600""> |
|:--:|
| *Possibile applications for mixed collaboration* |
  
## Application Framework
The main module of the application framework is the Cross Device Broadcast module which can be implemented by WebSocket. There would be four types of cross-device communication including mobile to mobile, desktop to desktop, desktop to mobile, and mobile to desktop. Each type of the communication can benefit different applications as the mixed collaboration approach is the fundemental infrastructure of data exchange.

| <img src=""https://user-images.githubusercontent.com/119405090/218685074-4fb337d7-81a9-4821-a2c3-d0d8993b3044.jpg"" width=""600""> |
|:--:|
| *Application framework for mixed collaboration* |

## System Framework
The system framework layouts the essential logics and modules.  

| <img src=""https://user-images.githubusercontent.com/119405090/218685094-74d00339-d5b3-4523-8bf8-5918deef9e85.jpg"" width=""600""> |
|:--:|
| *System framework for mixed collaboration* |

## Project Setup
This project was bootstrapped with [Create React App](https://github.com/facebook/create-react-app) from a [React boilerplate for bimU.io Viewer API](https://github.com/bimU-io/ReactSample).

### Available Scripts

In the project directory, you can run:

#### `npm start`

Runs the app in the development mode.\
Open [http://localhost:3000](http://localhost:3000) to view it in the browser.

The page will reload if you make edits.\
You will also see any lint errors in the console.

#### `npm test`

Launches the test runner in the interactive watch mode.\
See the section about [running tests](https://facebook.github.io/create-react-app/docs/running-tests) for more information.

#### `npm run build`

Builds the app for production to the `build` folder.\
It correctly bundles React in production mode and optimizes the build for the best performance.

The build is minified and the filenames include the hashes.\
Your app is ready to be deployed!

See the section about [deployment](https://facebook.github.io/create-react-app/docs/deployment) for more information.

#### `npm run eject`

**Note: this is a one-way operation. Once you `eject`, you can’t go back!**

If you aren’t satisfied with the build tool and configuration choices, you can `eject` at any time. This command will remove the single build dependency from your project.

Instead, it will copy all the configuration files and the transitive dependencies (webpack, Babel, ESLint, etc) right into your project so you have full control over them. All of the commands except `eject` will still work, but they will point to the copied scripts so you can tweak them. At this point you’re on your own.

You don’t have to ever use `eject`. The curated feature set is suitable for small and middle deployments, and you shouldn’t feel obligated to use this feature. However we understand that this tool wouldn’t be useful if you couldn’t customize it when you are ready for it.

### Learn More

You can learn more in the [Create React App documentation](https://facebook.github.io/create-react-app/docs/getting-started).

To learn React, check out the [React documentation](https://reactjs.org/).
",1,1,1,0,construction-management,"[ar, bim, collaboration, construction-management, vr, websocket, webxr]",23
IanTorweihe,ZapierInspectionReportBot,,https://github.com/IanTorweihe/ZapierInspectionReportBot,https://api.github.com/repos/ZapierInspectionReportBot/IanTorweihe,Python Flask app that integrates with Zapier via webhooks. Automates construction inspection report process.  Retrieves and analyzes quality reports in PDF format from URLs. Utilizes OpenAI GPT-3.5 to extract and parse unstructured text. Returns structured and filtered text to Zapier via webhook.,,1,1,3,0,construction-management,"[construction-management, contech, gpt-3-5-turbo, llm, openai, zapier]",23
kspenc97,general-contractor-diagnostic-tool,,https://github.com/kspenc97/general-contractor-diagnostic-tool,https://api.github.com/repos/general-contractor-diagnostic-tool/kspenc97,A diagnostic tool meant for customers of a general contractor that need assistance on an issue in their home. Video Demonstration of Application - https://www.youtube.com/watch?v=U_uNkE9pQbo,"# contractor-help

## Project setup
```
npm install
```

### Compiles and hot-reloads for development
```
npm run serve
```

### Compiles and minifies for production
```
npm run build
```

### Lints and fixes files
```
npm run lint
```

### Customize configuration
See [Configuration Reference](https://cli.vuejs.org/config/).
",1,1,1,0,construction-management,"[construction, construction-company, construction-management, contractor, contractor-management, contractors, custom-css, general-contractor, home-construction, home-improvement, pdf-generation, vue, vuejs, vuejs2, vuex]",23
Construction-Management-ERP,dashboard,Construction-Management-ERP,https://github.com/Construction-Management-ERP/dashboard,https://api.github.com/repos/dashboard/Construction-Management-ERP,Construction Management System (ERP) - admin panel,"# Getting Started with Create React App

This project was bootstrapped with [Create React App](https://github.com/facebook/create-react-app).

## Available Scripts

In the project directory, you can run:

### `npm start`

Runs the app in the development mode.\
Open [http://localhost:3000](http://localhost:3000) to view it in the browser.

The page will reload if you make edits.\
You will also see any lint errors in the console.

### `npm test`

Launches the test runner in the interactive watch mode.\
See the section about [running tests](https://facebook.github.io/create-react-app/docs/running-tests) for more information.

### `npm run build`

Builds the app for production to the `build` folder.\
It correctly bundles React in production mode and optimizes the build for the best performance.

The build is minified and the filenames include the hashes.\
Your app is ready to be deployed!

See the section about [deployment](https://facebook.github.io/create-react-app/docs/deployment) for more information.

### `npm run eject`

**Note: this is a one-way operation. Once you `eject`, you can’t go back!**

If you aren’t satisfied with the build tool and configuration choices, you can `eject` at any time. This command will remove the single build dependency from your project.

Instead, it will copy all the configuration files and the transitive dependencies (webpack, Babel, ESLint, etc) right into your project so you have full control over them. All of the commands except `eject` will still work, but they will point to the copied scripts so you can tweak them. At this point you’re on your own.

You don’t have to ever use `eject`. The curated feature set is suitable for small and middle deployments, and you shouldn’t feel obligated to use this feature. However we understand that this tool wouldn’t be useful if you couldn’t customize it when you are ready for it.

## Learn More

You can learn more in the [Create React App documentation](https://facebook.github.io/create-react-app/docs/getting-started).

To learn React, check out the [React documentation](https://reactjs.org/).
",1,1,0,0,construction-management,"[construction-management, erp, innoscript, myanmar]",23
yuantsai1115,ar.camera.mobile,,https://github.com/yuantsai1115/ar.camera.mobile,https://api.github.com/repos/ar.camera.mobile/yuantsai1115,It is a proof of concept for mixed collaboration between site engineers and officers powered by AR and WebSocket..,"# AR Camera for Mixed Collaboration - Mobile

## Introduction
This is a proof of concept for mixed collaboration between site engineers and officers. Site engieers can stream live location to the BIM model with mobile application. Then, the officers view the live location of site engineers on BIM model with receiver application. This help the site engieers and officers remotely collaborate which benefits the construction management as most experienced engineers and officers need to look after multiple sites. 

| <video src=""https://user-images.githubusercontent.com/119405090/218675712-1654923e-1d4c-4b18-9b0a-0816db121409.mp4""> |  <video src=""https://user-images.githubusercontent.com/119405090/218676350-b36db086-cb4b-45ca-ba04-26085498ae35.mp4""> | 
|:--:| :--:| 
| *Mobile streaming relative location to model* | *Receiver showing live location on model* |

*Please refer to all three repositories to run this application.*
- https://github.com/yuantsai1115/ar.camera.mobile
- https://github.com/yuantsai1115/ar.camera.backend
- https://github.com/yuantsai1115/ar.camera.receiver

## Research Gaps
Real-time data exchange between site engineers and officers is essential yet severe as most methods on the market only support video, image or voice which is not enough for remote collaboration. The location, viewing targets, camera poses, trajectories are all missing which blocks the officers understanding the site condition. This research proposes mixed collaboration approach which streams live data of site engineers to office. Officers can easily track all site engineers and collaborate with them remotely on BIM model which serves as a virtual site for visualising the live data. 

| <img src=""https://user-images.githubusercontent.com/119405090/218685030-0decbf94-2b6f-47b0-9b6f-8952342bdb8e.jpg"" width=""600""> |
|:--:|
| *Research gaps for mixed collaboration* |

## Possibilities
The office can be a situation room which accommodates all the live data from multiple site engieers on the BIM model. Also, the officers can send information or commands to site engineers by AR camera on mobile. The information then is displayed on the physical position. On the other hand, the site engineers can also do the measurement and show the result on BIM model for officers. It can benefit the remote communication and collaboration especially for the geographical limitation scenarios.

| <img src=""https://user-images.githubusercontent.com/119405090/218685044-a53f42b7-0805-4f39-a4a7-65114df3da92.jpg"" width=""600""> |
|:--:|
| *Possibile applications for mixed collaboration* |
  
## Application Framework
The main module of the application framework is the Cross Device Broadcast module which can be implemented by WebSocket. There would be four types of cross-device communication including mobile to mobile, desktop to desktop, desktop to mobile, and mobile to desktop. Each type of the communication can benefit different applications as the mixed collaboration approach is the fundemental infrastructure of data exchange.

| <img src=""https://user-images.githubusercontent.com/119405090/218685074-4fb337d7-81a9-4821-a2c3-d0d8993b3044.jpg"" width=""600""> |
|:--:|
| *Application framework for mixed collaboration* |

## System Framework
The system framework layouts the essential logics and modules.  

| <img src=""https://user-images.githubusercontent.com/119405090/218685094-74d00339-d5b3-4523-8bf8-5918deef9e85.jpg"" width=""600""> |
|:--:|
| *System framework for mixed collaboration* |

## Project Setup
This repository extended the samples from WebXR which is a mixed reality library for web application. Please refer to the WebXR website for more information. https://immersiveweb.dev/


",1,1,1,0,construction-management,"[ar, bim, collaboration, construction-management, vr, websocket, webxr]",23
Lanr3waju,dakiybuilds,,https://github.com/Lanr3waju/dakiybuilds,https://api.github.com/repos/dakiybuilds/Lanr3waju,"This is a Web-Based Construction Management System, built with Supabase, Next.js 13, TailwindCSS and DaisyUI, it includes features such as storage of documents, logging of daily works, work schedule (Gantt chart), and other features.","This is a [Next.js](https://nextjs.org/) project bootstrapped with [`create-next-app`](https://github.com/vercel/next.js/tree/canary/packages/create-next-app).

## Getting Started

First, run the development server:

```bash
npm run dev
# or
yarn dev
# or
pnpm dev
```

Open [http://localhost:3000](http://localhost:3000) with your browser to see the result.

You can start editing the page by modifying `app/page.js`. The page auto-updates as you edit the file.

This project uses [`next/font`](https://nextjs.org/docs/basic-features/font-optimization) to automatically optimize and load Inter, a custom Google Font.

## Learn More

To learn more about Next.js, take a look at the following resources:

- [Next.js Documentation](https://nextjs.org/docs) - learn about Next.js features and API.
- [Learn Next.js](https://nextjs.org/learn) - an interactive Next.js tutorial.

You can check out [the Next.js GitHub repository](https://github.com/vercel/next.js/) - your feedback and contributions are welcome!

## Deploy on Vercel

The easiest way to deploy your Next.js app is to use the [Vercel Platform](https://vercel.com/new?utm_medium=default-template&filter=next.js&utm_source=create-next-app&utm_campaign=create-next-app-readme) from the creators of Next.js.

Check out our [Next.js deployment documentation](https://nextjs.org/docs/deployment) for more details.
",1,1,1,6,construction-management,"[construction-management, daisyui, nextjs13, personal-project, project-management, supabase, tailwindcss, webbased-project, webdevelopment]",23
yuantsai1115,ar.camera.backend,,https://github.com/yuantsai1115/ar.camera.backend,https://api.github.com/repos/ar.camera.backend/yuantsai1115,It is a proof of concept for mixed collaboration between site engineers and officers powered by AR and websocket.,"# AR Camera for Mixed Collaboration - Backend

## Introduction
This is a proof of concept for mixed collaboration between site engineers and officers. Site engieers can stream live location to the BIM model with mobile application. Then, the officers view the live location of site engineers on BIM model with receiver application. This help the site engieers and officers remotely collaborate which benefits the construction management as most experienced engineers and officers need to look after multiple sites. 

| <video src=""https://user-images.githubusercontent.com/119405090/218675712-1654923e-1d4c-4b18-9b0a-0816db121409.mp4""> |  <video src=""https://user-images.githubusercontent.com/119405090/218676350-b36db086-cb4b-45ca-ba04-26085498ae35.mp4""> | 
|:--:| :--:| 
| *Mobile streaming relative location to model* | *Receiver showing live location on model* |

*Please refer to all three repositories to run this application.*
- https://github.com/yuantsai1115/ar.camera.mobile
- https://github.com/yuantsai1115/ar.camera.backend
- https://github.com/yuantsai1115/ar.camera.receiver

## Research Gaps
Real-time data exchange between site engineers and officers is essential yet severe as most methods on the market only support video, image or voice which is not enough for remote collaboration. The location, viewing targets, camera poses, trajectories are all missing which blocks the officers understanding the site condition. This research proposes mixed collaboration approach which streams live data of site engineers to office. Officers can easily track all site engineers and collaborate with them remotely on BIM model which serves as a virtual site for visualising the live data. 

| <img src=""https://user-images.githubusercontent.com/119405090/218685030-0decbf94-2b6f-47b0-9b6f-8952342bdb8e.jpg"" width=""600""> |
|:--:|
| *Research gaps for mixed collaboration* |

## Possibilities
The office can be a situation room which accommodates all the live data from multiple site engieers on the BIM model. Also, the officers can send information or commands to site engineers by AR camera on mobile. The information then is displayed on the physical position. On the other hand, the site engineers can also do the measurement and show the result on BIM model for officers. It can benefit the remote communication and collaboration especially for the geographical limitation scenarios.

| <img src=""https://user-images.githubusercontent.com/119405090/218685044-a53f42b7-0805-4f39-a4a7-65114df3da92.jpg"" width=""600""> |
|:--:|
| *Possibile applications for mixed collaboration* |
  
## Application Framework
The main module of the application framework is the Cross Device Broadcast module which can be implemented by WebSocket. There would be four types of cross-device communication including mobile to mobile, desktop to desktop, desktop to mobile, and mobile to desktop. Each type of the communication can benefit different applications as the mixed collaboration approach is the fundemental infrastructure of data exchange.

| <img src=""https://user-images.githubusercontent.com/119405090/218685074-4fb337d7-81a9-4821-a2c3-d0d8993b3044.jpg"" width=""600""> |
|:--:|
| *Application framework for mixed collaboration* |

## System Framework
The system framework layouts the essential logics and modules.  

| <img src=""https://user-images.githubusercontent.com/119405090/218685094-74d00339-d5b3-4523-8bf8-5918deef9e85.jpg"" width=""600""> |
|:--:|
| *System framework for mixed collaboration* |

## Project Setup
<!--
title: 'Simple Websocket Authorizers'
description: 'The example shows you how to deploy simple websocket authorizers'
framework: v1
platform: AWS
language: nodeJS
authorLink: 'https://github.com/eahefnawy'
authorName: 'Eslam λ Hefnawy'
authorAvatar: 'https://avatars3.githubusercontent.com/u/2312463?v=4&s=140'
-->

### Simple Websockets Authorizers Example

* Deploy the example service.
* connect to the outputted wss url using `wscat`:

```
wscat -c <wss-url>
```

* Connection should fail. If you try again, this time specifying an `Auth` header:

 ```
 wscat -c <wss-url> -H Auth:secret
 ```
 * Connection succeeds.
 * Feel free to chat with yourself :)
",0,0,1,0,construction-management,"[ar, bim, collaboration, construction-management, vr, websocket, webxr]",23
sahand995,BIM-based-integrated-discrete-event-simulation-DES-for-time-space-conflict-management-in-construct,,https://github.com/sahand995/BIM-based-integrated-discrete-event-simulation-DES-for-time-space-conflict-management-in-construct,https://api.github.com/repos/BIM-based-integrated-discrete-event-simulation-DES-for-time-space-conflict-management-in-construct/sahand995,"This study proposes a novel integrated approach as a method of time-space management in construction project sites. Our Proposed Unity-based method implements Discrete Event Simulation (DES), Building Information Modeling (BIM), and Informed Rapidly-exploring Random Tree-Star (Informed-RRT*) path planning, to automatically detect, evaluate, and resolve time-space conflicts throughout construction projects.","# BIM-based integrated discrete event simulation (DES) for time-space conflict management in construction sites using unity
This study proposes a novel integrated approach as a method of time-space management in construction project sites. Our Proposed Unity-based method implements Discrete Event Simulation (DES), Building Information Modeling (BIM), and Informed Rapidly-exploring Random Tree-Star (Informed-RRT*) path planning, to automatically detect, evaluate, and resolve time-space conflicts throughout construction projects.
",0,0,1,0,construction-management,"[construction-management, discrete-event-simulation, informed-rrt-star, optimization, path-planning, unity, unity3d, virtual-reality]",23
markdino,Construction-website-1,,https://github.com/markdino/Construction-website-1,https://api.github.com/repos/Construction-website-1/markdino,Gatsby-template for Construction company,"<!-- AUTO-GENERATED-CONTENT:START (STARTER) -->
<p align=""center"">
  <a href=""https://www.gatsbyjs.org"">
    <img alt=""Gatsby"" src=""https://www.gatsbyjs.org/monogram.svg"" width=""60"" />
  </a>
</p>
<h1 align=""center"">
  Gatsby's default starter
</h1>

Kick off your project with this default boilerplate. This starter ships with the main Gatsby configuration files you might need to get up and running blazing fast with the blazing fast app generator for React.

_Have another more specific idea? You may want to check out our vibrant collection of [official and community-created starters](https://www.gatsbyjs.org/docs/gatsby-starters/)._

## 🚀 Quick start

1.  **Create a Gatsby site.**

    Use the Gatsby CLI to create a new site, specifying the default starter.

    ```sh
    # create a new Gatsby site using the default starter
    gatsby new my-default-starter https://github.com/gatsbyjs/gatsby-starter-default
    ```

1.  **Start developing.**

    Navigate into your new site’s directory and start it up.

    ```sh
    cd my-default-starter/
    gatsby develop
    ```

1.  **Open the source code and start editing!**

    Your site is now running at `http://localhost:8000`!

    _Note: You'll also see a second link: _`http://localhost:8000/___graphql`_. This is a tool you can use to experiment with querying your data. Learn more about using this tool in the [Gatsby tutorial](https://www.gatsbyjs.org/tutorial/part-five/#introducing-graphiql)._

    Open the `my-default-starter` directory in your code editor of choice and edit `src/pages/index.js`. Save your changes and the browser will update in real time!

## 🧐 What's inside?

A quick look at the top-level files and directories you'll see in a Gatsby project.

    .
    ├── node_modules
    ├── src
    ├── .gitignore
    ├── .prettierrc
    ├── gatsby-browser.js
    ├── gatsby-config.js
    ├── gatsby-node.js
    ├── gatsby-ssr.js
    ├── LICENSE
    ├── package-lock.json
    ├── package.json
    └── README.md

1.  **`/node_modules`**: This directory contains all of the modules of code that your project depends on (npm packages) are automatically installed.

2.  **`/src`**: This directory will contain all of the code related to what you will see on the front-end of your site (what you see in the browser) such as your site header or a page template. `src` is a convention for “source code”.

3.  **`.gitignore`**: This file tells git which files it should not track / not maintain a version history for.

4.  **`.prettierrc`**: This is a configuration file for [Prettier](https://prettier.io/). Prettier is a tool to help keep the formatting of your code consistent.

5.  **`gatsby-browser.js`**: This file is where Gatsby expects to find any usage of the [Gatsby browser APIs](https://www.gatsbyjs.org/docs/browser-apis/) (if any). These allow customization/extension of default Gatsby settings affecting the browser.

6.  **`gatsby-config.js`**: This is the main configuration file for a Gatsby site. This is where you can specify information about your site (metadata) like the site title and description, which Gatsby plugins you’d like to include, etc. (Check out the [config docs](https://www.gatsbyjs.org/docs/gatsby-config/) for more detail).

7.  **`gatsby-node.js`**: This file is where Gatsby expects to find any usage of the [Gatsby Node APIs](https://www.gatsbyjs.org/docs/node-apis/) (if any). These allow customization/extension of default Gatsby settings affecting pieces of the site build process.

8.  **`gatsby-ssr.js`**: This file is where Gatsby expects to find any usage of the [Gatsby server-side rendering APIs](https://www.gatsbyjs.org/docs/ssr-apis/) (if any). These allow customization of default Gatsby settings affecting server-side rendering.

9.  **`LICENSE`**: Gatsby is licensed under the MIT license.

10. **`package-lock.json`** (See `package.json` below, first). This is an automatically generated file based on the exact versions of your npm dependencies that were installed for your project. **(You won’t change this file directly).**

11. **`package.json`**: A manifest file for Node.js projects, which includes things like metadata (the project’s name, author, etc). This manifest is how npm knows which packages to install for your project.

12. **`README.md`**: A text file containing useful reference information about your project.

## 🎓 Learning Gatsby

Looking for more guidance? Full documentation for Gatsby lives [on the website](https://www.gatsbyjs.org/). Here are some places to start:

- **For most developers, we recommend starting with our [in-depth tutorial for creating a site with Gatsby](https://www.gatsbyjs.org/tutorial/).** It starts with zero assumptions about your level of ability and walks through every step of the process.

- **To dive straight into code samples, head [to our documentation](https://www.gatsbyjs.org/docs/).** In particular, check out the _Guides_, _API Reference_, and _Advanced Tutorials_ sections in the sidebar.

## 💫 Deploy

[![Deploy to Netlify](https://www.netlify.com/img/deploy/button.svg)](https://app.netlify.com/start/deploy?repository=https://github.com/gatsbyjs/gatsby-starter-default)

<!-- AUTO-GENERATED-CONTENT:END -->
",24,24,3,10,construction-company,"[construction-company, gatsby, gatsby-site, hacktoberfest, manifest, metadata]",23
