Educational Services
User, Repo, Topic
freeCodeCamp, freeCodeCamp, Education
EbookFoundation, free-programming-books, Education
getify, You-Dont-Know-JS, Education
TheAlgorithms, Python, Education
30-seconds, 30-seconds-of-code, Education
microsoft, Web-Dev-For-Beginners, Education
microsoft, ML-For-Beginners, Education
FreeCodeCampChina, freecodecamp.cn, Education
carbon-app, carbon, Education
processing, p5.js, Education
TheAlgorithms, C, Education
JushBJJ, Mr.-Ranedeer-AI-Tutor, Education
getify, Functional-Light-JS, Education
30-seconds, 30-seconds-of-css, Education
mahmoud, awesome-python-applications, Education
Hacker0x01, hacker101, Education
bolshchikov, js-must-watch, Education
s-matyukevich, raspberry-pi-os, Education
iggredible, Learn-Vim, Education
30-seconds, 30-seconds-of-interviews, Education
sonic-pi-net, sonic-pi, Education
nahamsec, Resources-for-Beginner-Bug-Bounty-Hunters, Education
30-seconds, 30-seconds-of-python, Education
ankidroid, Anki-Android, Education
metagrover, ES6-for-humans, Education
processing, processing, Education
mikesprague, udacity-nanodegrees, Education
CodingTrain, website-archive, Education
oppia, oppia, Education
ivmm, Student-resources, Education
learn-anything, books, Education
CTFd, CTFd, Education
30-seconds, 30-seconds-of-react, Education
fonsp, Pluto.jl, Education
berwin, Blog, Education
logisim-evolution, logisim-evolution, Education
EbTech, rust-algorithms, Education
hneemann, Digital, Education
MariaLetta, free-gophers-pack, Education
MTrajK, coding-problems, Education
anu0012, awesome-computer-science-opportunities, Education
grantjenks, free-python-games, Education
gsantner, markor, Education
rathena, rathena, Education
30-seconds, 30-seconds-of-php, Education
isl-org, OpenBot, Education
mitmath, computational-thinking, Education
tweedegolf, 101-rs, Education
hackclub, hackclub, Education
algorithmica-org, algorithmica, Education
notpresident35, awesome-learn-gamedev, Education
mortbopet, Ripes, Education
antonio-morales, Fuzzing101, Education
Netflix-Skunkworks, stethoscope, Education
yhzhang0128, egos-2000, Education
0atman, noboilerplate, Education
noob-hackers, infect, Education
lovasoa, whitebophir, Education
gpiozero, gpiozero, Education
GDQuest, learn-gdscript, Education
LibreLingo, LibreLingo, Education
the-turing-way, the-turing-way, Education
weartist, computer-book-list, Education
dofy, learn-vim, Education
SimonWaldherr, golang-examples, Education
mozilla, thimble.mozilla.org, Education
cpinitiative, usaco-guide, Education
geocompx, geocompr, Education
arschles, go-in-5-minutes, Education
risinglightdb, risinglight, Education
education, classroom, Education
mu-editor, mu, Education
tecladocode, rest-apis-flask-python, Education
google, codeworld, Education
alexmojaki, futurecoder, Education
FurkanGozukara, Stable-Diffusion, Education
hedyorg, hedy, Education
AlbertoMontalesi, The-complete-guide-to-modern-JavaScript, Education
brownplt, pyret-lang, Education
pointfreeco, pointfreeco, Education
learn-anything, courses, Education
TheAlgorithms, Scala, Education
sakaiproject, sakai, Education
TheThirdOne, rars, Education
atralice, Curso.Prep.Henry, Education
izdi, elm-cheat-sheet, Education
jupyterhub, the-littlest-jupyterhub, Education
kelvins, algorithms-and-data-structures, Education
GoldinGuy, CollegeCompendium, Education
pascal-lab, Tai-e-assignments, Education
needleworm, bhban_rpa, Education
xiaochong0302, course-tencent-cloud, Education
frankwxu, digital-forensics-lab, Education
tidyverse, datascience-box, Education
bespoyasov, refactor-like-a-superhero, Education
hrshadhin, school-management-system, Education
iiab, iiab, Education
paperboi, kindle2notion, Education
shama, letswritecode, Education
quobit, awesome-python-in-education, Education
processing, processing-android, Education
enkidevs, curriculum, Education
yrgo, awesome-educational-games, Education
pro1code1hack, Senior-Dev-Roadmap, Education
TheAlgorithms, R, Education
autolab, Autolab, Education
SwiftEducation, teaching-app-dev-swift, Education
vvignesh17, List-of-all-Research-Internship-Program-for-IIT-and-NITs, Education
microsoft, pxt-microbit, Education
getify, A-Tale-Of-Three-Lists, Education
qcha, JBook, Education
brootware, awesome-cyber-security-university, Education
learningequality, kolibri, Education
joeynmt, joeynmt, Education
jarvisteach, appJar, Education
lukew3, mathgenerator, Education
lmt-swallow, puppy-browser, Education
seed-labs, seed-labs, Education
gazpachu, hypatia, Education
SethClydesdale, genki-study-resources, Education
quinton-ashley, p5play, Education
WanyueKJ, education-online, Education
Rocketseat, comunidade, Education
30-seconds, 30-seconds-blog, Education
rwxrob, boost, Education
parnold-x, nasc, Education
retro-esp32, RetroESP32, Education
googlearchive, science-journal-ios, Education
Submitty, Submitty, Education
sebastian-hofstaetter, teaching, Education
gaerae, awesome-algorithms-education, Education
plastic-labs, tutor-gpt, Education
elizabethsiegle, 30-seconds-of-swift-code, Education
ArsMasiuk, qvge, Education
fireship-io, flutter-firebase-quizapp-course, Education
4jean, lav_sms, Education
Leocardoso94, Free-Courses, Education
geerlingguy, kubernetes-101, Education
avinash201199, Competitions-and-Programs-List, Education
openeducat, openeducat_erp, Education
taybenlor, runno, Education
ucfopen, canvasapi, Education
januschung, math-worksheet-generator, Education
lordmauve, pgzero, Education
Ceyron, machine-learning-and-simulation, Education
earthlab, earthpy, Education
ajaymnk, open-electronics, Education
ProjectSkyfire, SkyFire_548, Education
mnemosyne-proj, mnemosyne, Education
kevintpeng, Learn-Something-Every-Day, Education
jupyter4edu, jupyter-edu-book, Education
frappe, lms, Education
williamgherman, c-solutions, Education
andrescv, jupiter, Education
CodeverDotDev, bookmarks, Education
chinasaokolo, csGraduateFellowships, Education
Sobeston, ziglearn, Education
alyssaxuu, carden, Education
he4rt, react4noobs, Education
fukuball, Awesome-Laravel-Education, Education
PythonTurtle, PythonTurtle, Education
gdisf, teaching-materials, Education
lcgamboa, picsimlab, Education
hwgilbert16, scholarsome, Education
vantage-sh, handbook.vantage.sh, Education
limitedeternity, foxford_courses, Education
processing, processing-docs, Education
alexdlaird, pyngrok, Education
training-center, sobre, Education
fffaraz, awesome-courses, Education
dair-ai, nlp_fundamentals, Education
mathigon, textbooks, Education
learn-awesome, learn, Education
ckaestne, seai, Education
sugarlabs, musicblocks, Education
uccser, cs-field-guide, Education
tema6120, ForgetMeNot, Education
mikinty, Trading-Interview-Questions, Education
CopterExpress, clover, Education
CMU-HKN, CMU-ECE-CS-Guide, Education
IBM, IBM-Z-zOS, Education
davidedc, livecodelab, Education
yuawn, NTU-Computer-Security, Education
kuzand, Computer-Vision-Video-Lectures, Education
aleksandrshoshiashvili, AwesomeSpotlightView, Education
pehapkari, awesome-symfony-education, Education
okpy, ok, Education
php-school, learn-you-php, Education
Necrobot-Private, NecroBot, Education
3kh0, website-v3, Education
prathimacode-hub, Awesome_Python_Scripts, Education
icalk-nlp, EduChat, Education
SwiftEducation, presentations, Education
paralax, lfi-labs, Education
cloudxlab, ml, Education
tesseralis, polyhedra-viewer, Education
30-seconds, 30-seconds-of-git, Education
SalusaSecondus, CryptoGotchas, Education
octallium, modern-python-101, Education
openedx, edx-app-android, Education
TheAlgorithms, Solidity, Education
sjsyrek, haskell-study-startup, Education
civboot, civboot, Education
Dyakonov, PZAD, Education
edrys-org, edrys, Education
lesnitsky, howtodothisinflutter, Education
oppia, oppia-android, Education
kobra-dev, Kobra, Education
