Manufacturing
User, Repo, Topic
notrinos, NotrinosERP, manufacturing-process
AndreasBraun5, Data-Mining-in-Industrial-Processes-Evaluation-of-different-machine-learning-models-for-Prediction, manufacturing-process
AnuragSChatterjee, Electronics-Design-Engineering-Piezoelectric-Sensor-Applications-For-Mechanical-Vibration-Control, manufacturing-process
Zoey1102, simulation_laptop-manufacturing-process, manufacturing-process
MohamadHammoud99, Electrical-Tricycle-Design-SolidWorks, manufacturing-process
aldimeolaalfarisy, Analysis-Effect-of-Cutting-Speed-on-Surface-Roughness-of-Cylindrical-Grinding-Process-using-ANOVA, manufacturing-process
doublechaintech, scm-biz-suite, supply-chain
coreinfrastructure, best-practices-badge, supply-chain
openclarity, kubeclarity, supply-chain
ikatsov, tensor-house, supply-chain
pypa, pip-audit, supply-chain
sigstore, rekor, supply-chain
in-toto, in-toto, supply-chain
theupdateframework, go-tuf, supply-chain
ossillate-inc, packj, supply-chain
sandworm-hq, sandworm-audit, supply-chain
sigstore, sigstore, supply-chain
devops-kung-fu, bomber, supply-chain
kpcyrd, rebuilderd, supply-chain
hubbs5, or-gym, supply-chain
CycloneDX, cdxgen, supply-chain
testifysec, witness, supply-chain
CycloneDX, specification, supply-chain
KevinFasusi, supplychainpy, supply-chain
sandworm-hq, sandworm-guard-js, supply-chain
Funkmyster, awesome-supply-chain, supply-chain
sigstore, sigstore-python, supply-chain
os-scar, overlay, supply-chain
codenotary, cas, supply-chain
ossf, scorecard-action, supply-chain
OriginTrail, ot-node, supply-chain
gytdove, langxdBlog, supply-chain
kylelobo, AuthentiFi, supply-chain
nsacyber, HIRS, supply-chain
fosslight, fosslight, supply-chain
sigstore, sigstore-js, supply-chain
kpcyrd, i-probably-didnt-backdoor-this, supply-chain
notaryproject, specifications, supply-chain
mattdean1, blockchain-supply-chain, supply-chain
MitchTODO, Ethereum-SupplyChain, supply-chain
OWASP, Software-Component-Verification-Standard, supply-chain
phylum-dev, cli, supply-chain
kpcyrd, pacman-bintrans, supply-chain
centrifuge, pod, supply-chain
kamalkishorm, Blockchain_SupplyChain, supply-chain
enbochen, hyperledger-composer-supply-chain-network, supply-chain
maximevaillancourt, trace, supply-chain
kuldeep23907, Supply-Chain-using-Hyperledger-Fabric-and-React, supply-chain
C00kie-, workshop-materials, supply-chain
twu, skjold, supply-chain
transmute-industries, transmute, supply-chain
LarrySnyder, stockpyl, supply-chain
Azure, blockchain-supply-chain-solution, supply-chain
OpenLMIS, openlmis-ref-distro, supply-chain
pypa, gh-action-pip-audit, supply-chain
hyperledger-labs, business-partner-agent, supply-chain
goreleaser, goreleaser-example-supply-chain, supply-chain
ochronasec, ochrona-cli, supply-chain
samirsaci, supply-chain-optimization, supply-chain
ropensci, comtradr, supply-chain
Checkmarx, chainjacking, supply-chain
samirsaci, picking-route, supply-chain
cackle-rs, cackle, supply-chain
lakshya-20, supply-chain, supply-chain
rishav4101, eth-supplychain-dapp, supply-chain
Evalle, CKS, supply-chain
ialberquilla, hlf1.4-supply-chain, supply-chain
meta-fun, awesome-software-supply-chain-security, supply-chain
samirsaci, supply-chain-sustainability, supply-chain
acclimate, acclimate, supply-chain
oxsecurity, codetotal, supply-chain
VexStore, fatbom, supply-chain
w3c-ccg, traceability-vocab, supply-chain
sigstore, gh-action-sigstore-python, supply-chain
sherwyn11, Pharma-Chain, supply-chain
fedinb, Inventory-Optimization, supply-chain
kepano, slashpackaging, supply-chain
microsoft, scitt-ccf-ledger, supply-chain
SatoshiNextTechLab, BlockSCM, supply-chain
FasTnT, epcis, supply-chain
w3c-ccg, traceability-interop, supply-chain
samirsaci, last-mile, supply-chain
aitechtools, SunFlow, supply-chain
ac12644, Supply-Chain-Smart-Contract, supply-chain
tilakthimmappa, pyraider, supply-chain
abhishekvispute, Blockchain-Powered-Procurement-System, supply-chain
samijullien, airlab-retail, supply-chain
RILUCK, Supply-Chain-Management-Machine-Learning, supply-chain
karthiknmenon, ColdBlocks, supply-chain
samirsaci, container-optimization, supply-chain
samirsaci, segmentation, supply-chain
sumantabose, go-p2p-blockchain, supply-chain
yuzhenfeng2002, Model-of-Supply-Chain-Anylogic, supply-chain
Salmandabbakuti, hlf-medicChain, supply-chain
shelmangroup, distroless-k8s, supply-chain
bhuwanadhikari, medicochain, supply-chain
orlov-ai, beer-game-env, supply-chain
sigstore, rekor-server, supply-chain
timoftime, chainmetric-app, supply-chain
samirsaci, production-planning, supply-chain
sattwiksuman, Supply-Chain-Analytics, supply-chain
divyank00, SupplyChainHub, supply-chain
suriyaram38, Supply-Chain-Optimization-Using-Python, supply-chain
AleRapchan, hyperledger-supply-chain, supply-chain
samirsaci, inventory-deterministic, supply-chain
Mohamed-94, SalesPrediction_For_SupplyChain, supply-chain
samirsaci, supply-planning, supply-chain
samirsaci, pareto-warehouse-layout, supply-chain
samirsaci, inventory-stochastic, supply-chain
fepitre, package-rebuilder, supply-chain
connorjburton, senvf, supply-chain
timoftime, chainmetric-network, supply-chain
timoftime, chainmetric-iot, supply-chain
samirsaci, telegram_transport, supply-chain
Faizack, Supply-Chain-Blockchain, supply-chain
samirsaci, geocoding-api, supply-chain
IshtyM, Shipping-Pricing-Prediction, supply-chain
uncefact, spec-JSONschema, supply-chain
setyoadiw, SupplyChainManagementSystem, supply-chain
hhatefi, sc_planner, supply-chain
vocol, scor, supply-chain
moonman369, AutoChain-1.0, supply-chain
fossable, autovet, supply-chain
samirsaci, visuals_analysis, supply-chain
mangushev, inventory_management, supply-chain
sripwoud, airChain, supply-chain
suvambasak, supply-chain-ethereum, supply-chain
koshikraj, swiggy_hackathon, supply-chain
fluree, example-supply-chain, supply-chain
das-lab, pcpd, supply-chain
Hekkydev, Supply-Chain-Management, supply-chain
samirsaci, product-segmentation, supply-chain
samirsaci, budget-planning, supply-chain
shubham-kukreja, SupplyChainHub-Client, supply-chain
HonestBlocks, Swastha-App, supply-chain
chris48s, pip-abandoned, supply-chain
php-laff, analyzer, supply-chain
Daniel-Szego, FoodSupplyChainDemo, supply-chain
CMAP-REPOS, cmap_freight_model, supply-chain
samirsaci, lss-kruskal-wallis, supply-chain
bdjukic, anyledger-prototype, supply-chain
jhelvy, solar-learning-2021, supply-chain
bennobo, logistics-podcasts, supply-chain
perry-mitchell, sellers.json, supply-chain
ChrisMuir, comtrade-plot, supply-chain
greek-geek, SEA-Pharma, supply-chain
samirsaci, workforce-planning, supply-chain
sjshank, Pharma_SupplyChain_Blockchain, supply-chain
ndrmc, cats-web, supply-chain
JeanM1996, TrackOnBlockChain, supply-chain
vinaychourasiya, Supply-Chain-Design-, supply-chain
kapishps, hyperledger-supply-chain, supply-chain
pomes, valiant, supply-chain
Sigsev-Dev, AdaniWilmar-Asset-Tracker-using-Hyperledger-Fabric-with-QR-code-Integration, supply-chain
ashapochka, chainvoice, supply-chain
Jatin-8898, ud-blockchain-nd, supply-chain
santiago-mooser, Software-supply-chain-security, supply-chain
mchmarny, sds-demo, supply-chain
Salmandabbakuti, Supplychain-Ethereum, supply-chain
sergiomarotco, Azure-DevOps-server-supply-chain-attack-tree, supply-chain
rajdesai176, bullwhip-effect, supply-chain
freight-trust, data-ctl, supply-chain
mostafa, practical-cscrm, supply-chain
AppThreat, atom, supply-chain
omondi8399, KANAIRO-Tracking-dApp, supply-chain
IngenieriaUP, food-supply-nanostores, supply-chain
Daniel-Szego, LNGSupplyChain, supply-chain
blockNCK, nck, supply-chain
k1LoW, oshka, supply-chain
akretion, logistics-center, supply-chain
mauriciomani, brewing_hackathon, supply-chain
Ashutosh27ind, TimeSeries-Inventory-Forecasting, supply-chain
EspeoBlockchain, drug-supply-chain-contracts, supply-chain
MohamedHmini, MANUFACTURING-SUPPLY-CHAIN, supply-chain
marcelamejiao, Whatsupplier, supply-chain
ayushjainrksh, supply-chain, supply-chain
stef4k, vehicle-routing-problem, supply-chain
samirsaci, queing-theory, supply-chain
OSSSC-edu, supply-chain.github.io, supply-chain
ochronasec, ochrona_vs, supply-chain
LucasDiogo96, Routing-Optimizer, supply-chain
rust-secure-code, rust-supply-chain-security, supply-chain
dhairyaostwal, SD-COVID-19, supply-chain
amarmeddahi, digital-warehouse, supply-chain
fedinb, Service-Level-and-Coverage-KPIs, supply-chain
