Mining, Quarrying, and Oil and Gas Extraction
User, Repo, Topic
yohanesnuwara, reservoir-engineering, oil-and-gas
dudley-fitzgerald, AutomatedWellLogCorrelation, oil-and-gas
Skoltech-CHR, DeepField, oil-and-gas
yohanesnuwara, pyresim, oil-and-gas
yohanesnuwara, python-bootcamp-for-geoengineers, oil-and-gas
equinor, neqsim, oil-and-gas
equinor, neqsimpython, oil-and-gas
beatrixparis, connectivity-modeling-system, oil-and-gas
bbcho, risktools-dev, oil-and-gas
Philliec459, NEW-Carbonate-Characterization-Workflow-Jupiter-Notebook-Modules-with-Clerke-Arab-D-Calibration-Data, oil-and-gas
Philliec459, Estimate-Core-Permeability-from-NMR-data-using-either-Map-Inversion-or-kNN, oil-and-gas
bpamos, welltrajconvert, oil-and-gas
Philliec459, Simple-Neural-Network-to-Estimate-Carbonate-Rock-Types, oil-and-gas
FracThePermian, Reservoir-Simulation-Part-B, oil-and-gas
aegis4048, GasCompressibility-py, oil-and-gas
Accenture, OSDU-Ontology, oil-and-gas
OlegRyzhkov2020, oil-project, oil-and-gas
yohanesnuwara, petroleum-data-analytics-series, oil-and-gas
pro-well-plan, opensource_apps, oil-and-gas
imayachita, wireline-log-plotting, oil-and-gas
fraclad, wellArchitectureDesign, oil-and-gas
rickdelpino, Oil_Finder_Rick_improved_2021, oil-and-gas
FracThePermian, FEM-Reservoir-Drainage-3D, oil-and-gas
imayachita, log-analysis, oil-and-gas
jshumway0475, Petroleum, oil-and-gas
Yous3ry, Python_Automated_DCA, oil-and-gas
brunomsantiago, subsea_inpainting, oil-and-gas
victoreronmosele, oil_and_gas_unit_converter, oil-and-gas
james-roden, arcgis-ghsz, oil-and-gas
devfabiosilva, witsml21parser, oil-and-gas
Jun-Tam, article_analysis_word2vec, oil-and-gas
gwallison, KS_injection_wells_formatting, oil-and-gas
bysarmad, A-Tour-of-Oil-Industry-ML, oil-and-gas
viandika, volve_horizon_trajectory, oil-and-gas
pafox38, Automate-the-Geo-Stuff, oil-and-gas
FreddyEcu-Ch, Oil-and-Gas-Resources, oil-and-gas
antoniodagnino, Oil-Gas-Drilling-Activity-Prediction, oil-and-gas
gwallison, CAS_reference_list, oil-and-gas
yohanesnuwara, pynodal, oil-and-gas
ArslanKAS, Oil---Gas, oil-and-gas
AOlang98, Predictive-Modelling, oil-and-gas
gwallison, WV_production_formatter, oil-and-gas
rensalzado, DiluentESPOptimization, oil-and-gas
chews0n, glowing-waffle, oil-and-gas
AyadiGithub, Brent-Crude-Oil-Price-Anomaly-Detection-in-Keras, oil-and-gas
ACRRL, RGB-Spectrometer, oil-and-gas
FreddyEcu-Ch, Machine-Learning, oil-and-gas
gwallison, ohio_production_to_FT_format, oil-and-gas
ashrafalaghbari, ProBHP, oil-and-gas
gwallison, FF-POC, oil-and-gas
davidcasr, notebooks-oil-and-gas, oil-and-gas
OmarZOS, deep-learning-at-scale, oil-and-gas
Lamy237, Volve-field, oil-and-gas
sulaihasubi, tokenization-spaCy, oil-and-gas
HydraIndustriesOfficial, EnviroGas, oil-and-gas
m4theus4ndr4de, regression-oil-production-prediction, oil-and-gas
gwallison, FF-cleanup-test, oil-and-gas
gwallison, OK_injection_wells_formatting, oil-and-gas
damianlujep, Hydraulic_Pump_Design_React, oil-and-gas
swoyam2609, Oil-and-Gas-Price-Analysis-and-Prediction, oil-and-gas
WanIlmie, wanilmie.github.io, oil-and-gas
rafferti95, My-projects, oil-and-gas
Ayberk-Uyanik, GeoCos-v2.0, oil-and-gas
energypriceapi, energypriceapi-nodejs, oil-and-gas
DeflateAwning, alberta-og-data-tools, oil-and-gas
bfotland, force-hack-2019, oil-and-gas
giovannivelludo, Antea-IFC-Export, oil-and-gas
sergey-frolov-pets, sergey-frolov-blog, oil-and-gas
aggg97, CapIV, oil-and-gas
EduardoPach, Fast_Offshore_Wells_Model_Julia, oil-and-gas
