Professional, Scientific, and Technical Services
User, Repo, Topic
osano, cookieconsent, legal
basecamp, policies, legal
disclose, diodb, legal
licensee, licensee, legal
LexPredict, lexpredict-lexnlp, legal
ankane, awesome-legal, legal
Liquid-Legal-Institute, Legal-Text-Analytics, legal
threeheartsdigital, email-marketing-regulations, legal
jackmorgan, the-plain-contract, legal
accordproject, template-archive, legal
disclose, research-threats, legal
statedecoded, statedecoded, legal
privacyradius, gdpr-tracker, legal
LexPredict, lexpredict-contraxsuite, legal
accordproject, ergo, legal
Unity-Technologies, TermsOfService, legal
coastalcph, lex-glue, legal
sindresorhus, legal-notices, legal
accordproject, web-components, legal
noraj, BB-legal-FR, legal
yourWaifu, is-your-waifu-legal, legal
Open-Cap-Table-Coalition, Open-Cap-Format-OCF, legal
Neufund, ESOP, legal
ELS-RD, anonymisation, legal
blopa, Contract-Builder, legal
openlegaldata, oldp, legal
irlab-sdu, fuzi.mingcha, legal
unnawut, licensir, legal
Comcast, php-legal-licenses, legal
miguelmota, solidity-audit-checklist, legal
CIRCL, compliance, legal
disclose, dioterms, legal
oprvc, oprvc.github.io, legal
EdOverflow, legal-bug-bounty, legal
iandennismiller, mueller-report, legal
accordproject, techdocs, legal
maize-tech, laravel-legal-consent, legal
assoft-portugal, SAF-T-AO, legal
lexDAO, Kali, legal
Mte90, GH-License, legal
Liquid-Legal-Institute, Legal-Ontologies, legal
Ananyapam7, AILA-Artificial-Intelligence-for-Legal-Assistance, legal
NJU-LegalAI, Legal-ChatGLM, legal
AnjaneyaTripathi, knowledge_graph, legal
MISP, misp-compliance, legal
davidawad, lobe, legal
alexcambose, provably-fair-example, legal
openSUSE, cavil, legal
finos, software-project-blueprint, legal
aldavigdis, samningur, legal
racai-ai, pyeurovoc, legal
mrice, solidity-legal-contracts, legal
openfaas, license-check, legal
dominicfallows, digital-project-development-contract-agency-or-company-to-freelancer, legal
countable-web, open-source-corporation, legal
wpautoterms, Auto-Terms-of-Service-and-Privacy-Policy, legal
davidawad, statedb, legal
gsh199449, proto-summ, legal
captable, ocx, legal
bugproof, DotnetThirdPartyNotices, legal
purpleidea, legal-hackers, legal
accordproject, template-studio-v2, legal
paviliondev, discourse-legal-tools, legal
crazycloud, Handwritten-text-Detection-Detectron2, legal
kiersch, jura_regex, legal
olakunlevpn, Nigeria-Bank-Account-Number-API, legal
rboulle, libre-software-lessons-fr-and-en, legal
cedarcode, attorney, legal
franciscop, check-licenses, legal
Transparency-Information-Language, meta, legal
MitocGroup, www, legal
Tech-Ninjas-DIOX, front-entenda-direito, legal
fros1y, epo-download, legal
Sub6Resources, Utilities, legal
nsi319, Legal-Summarizer, legal
neonspider, odyssey, legal
coastalcph, fairlex, legal
MISP, misp-noticelist, legal
TiltonLAW, LegalWRITER, legal
sambacha, boilerplate-fintech-legal-templates, legal
lukasbach, gfont-cloudless, legal
ELS-RD, iaetdroit, legal
dot-legal, reference, legal
lawndoc, dual-license-templates, legal
DotDoug, TreatiseAI, legal
jakhax, shellverse, legal
jolocom, jolocom, legal
LegalLogs, LegalLogs, legal
PrivacyRUN, cookie-consent, legal
disclose, dioseal, legal
prometheusXN, D-LADAN, legal
kiersch, parse_ecli, legal
lolibrary, legal, legal
thegamershollow, NUSPY, legal
manmohitgrewal1, Case-Finder-React-Native, legal
TechSang, Chinese-Legal-Entity-Recognition, legal
Addleshaw-Goddard, Blackstone-Web-API, legal
AdguardTeam, LegalDocs, legal
UnicornGlobal, unicorn-terms-and-conditions, legal
19hours, sg-statutes, legal
Navy10021, KRLawGPT, legal
harshildarji, German-NER-BERT, legal
storminstakk, Justice_Juggernaut, legal
CCALI, a2jviewer, legal
warengonzaga, waren-universal-discord-rules, legal
neelguha, legal-segmenter, legal
REUL-Lab, eula-aat, legal
Miazzy, xdata-legal-service, legal
elypia, Open-Agreements, legal
luzgui, Energy-Commons, legal
Forester93, thy-will, legal
CJKinni, linked-parallel-table, legal
fros1y, patent-api, legal
davesag, wikiscores, legal
cyb3rko, android-licenses-library, legal
arian-askari, EF_in_Legal_CQA, legal
jurteam, mvp-smart-contract, legal
MaulingMonkey, lies, legal
doctorparadox, historical-texts, legal
apmarshall, human-rights-platform, legal
luckyshot, cookie-law-simple-script, legal
cttynul, freeiptv-to-m3u, legal
mminer237, metes-unbounded, legal
davidawad, chase, legal
CCALI, a2jauthor, legal
CoinOffering, Bylaws, legal
mihneasim, CryptoTaxation, legal
librecorps, resources, legal
hueyy, law-archive-data, legal
spartypkp, legalAI, legal
CCALI, a2jdat, legal
justicehub-in, justice-hub-docs, legal
typicalbot, policies, legal
adamzwasserman, firewheel, legal
TeamDev-IP, Chromium-Licences, legal
jwflory, heuristics, legal
foqal, policies, legal
ContractStandards, Style-Guide, legal
riolet, antislapp, legal
jperelli, Constitucion_Argentina, legal
TeamElixir, nlp-legal-domain-sources, legal
RescueSocialTech, amber_heard_Influence_Effects_Fixers, legal
Dark-Matter-Labs, circulaw, legal
x72y5e, legal_cluster, legal
marctjones, pubadminfoss, legal
cityssm, corporate-records-manager, legal
DanielFillol, CNJ_Search, legal
ibinary, sealed, legal
Websoft9Archive, doc-legal, legal
rene-re, safesignal, legal
anacarmelauy, saul-the-legal-secretary, legal
anohako, SMS-Backup-Restore-XSL-Transform-to-HTML, legal
parkerhancock, awesome-patents, legal
CoinOffering, coinoffering.github.io, legal
rene-re, safesignal, legal
RiversideValley, Nightshade, legal
carlosplanchon, ImpoGPT, legal
lynnpepin, arbitration-opt-out-templates, legal
SorenTech, legal.soren.tech, legal
authzed, cla, legal
recaptime-dev, legal-policies, legal
elenanereiss, bert-legal-ner, legal
dylanhogg, legaldata, legal
dmamakas2000, nllp-2022, legal
nicwortel, recruit-me-not, legal
DanielFillol, CNJ_Validate, legal
code4romania, czl-web, legal
Chronolabs-Cooperative, Signed-Module-Xoops25, legal
Chronolabs-Cooperative, Shower-API-PHP, legal
tapkey, legal, legal
askmuhsin, legal_maxims, legal
justmars, corpus-base, legal
LoganCorey, Sharepoint-Legal-Case-Search, legal
Porkbutts, legal-letter-pdf-separator, legal
Coronon, license_gatherer, legal
BrandLiaison001, Brand-Liaison, legal
brlin-tw, Copyleft-Hall-of-Shame, legal
morg-an, fair-work, legal
upalbhattacharya, indian-legal-dataset-preparation, legal
consultwebs, wp-amp-bundle, legal
taxies, LEGAL, legal
freighttrust, docs, legal
Legal-AI-Assistant, Name-Entity-Recognition-for-Indian-Law, legal
rhuanbarros, jurimetria_justica_do_trabalho, legal
ToniWilliams1, DiscoveryChecklist, legal
DanielFillol, Summary_Classifier, legal
apoorv74, IKreporteR, legal
enricofer, barney_document_versioning, legal
freight-trust, cdm, legal
jnbdz, law-quickstarts, legal
NFS002, blokd-core, legal
SteffBauer, legal_info, legal
blokks, legal, legal
MeanPug, tycko-zavareei, legal
umarbutler, open-australian-legal-corpus-creator, legal
NoelShallum, Indian_SC_Judgment_database, legal
tilburgsciencehub, legal-situation-of-web-scraping, legal
andrewyu0, ALERTsim, legal
REUL-Lab, bite-sized-eula, legal
TeamElixir, scraper, legal
dev7060, Legal-Torrenting, legal
praxisnetau, silverware-legals, legal
dothq, policies, legal
arunava-nandy, capstone_project, legal
mrice, michaelricelaw, legal
code4romania, czl-api, legal
hjanh, Legal-KMS, legal
crates, nda_non_disclosure_confidentiality_agreement, legal
Dorson, Constitution-of-Mars, legal
MarmiteDefontes, license, legal
ManishSahu53, legal, legal
mibressler, Replikation-Ueberwachungsbarometer, legal
justmars, statute-trees, legal
ArrobaIT, awesome-gdpr, legal
yamka-app, legal, legal
callensm, arbiter, legal
Ma124, Licenses, legal
ghostrider, thegoodtorrent.net, legal
lennartvanlaake, lawbrador, legal
fatihtuzunn, avvukat, legal
chaynHQ, build-your-own-case-without-a-lawyer, legal
moritzgloeckl, austrian-legal-citation-style, legal
RescueSocialTech, Guide_Cases_Domestic_Abuse, legal
naturenurtureelite, Legal-AI, legal
wethepeopleonline, DragonBreath, legal
informationsfreiheit, mustersatzung, legal
michaelricelaw, michaelricelaw.github.io, legal
x72y5e, case_watch, legal
arinitti, web-access, legal
S1SYPHOS, php-gesetze, legal
justmars, citation-report, legal
xkaijie, Database_Principles, legal
ToastyTraining, UnitedNations, legal
DennisLoska, IT-Recht, legal
NovaDevelopment, SoftLicenseGen, legal
sytespace, Legal, legal
cointelfinance, terms-and-conditions, legal
IMS-Network, IMS-Legal, legal
Shayankhatri23, Assignment-04-VARIABLE-NAMES-LEGAL-ILLEGAL-, legal
manifoldfinance, legal, legal
need2edit, AgreementKit, legal
outrightmental, terms.outright.io, legal
webflorist, privacy-policy-text, legal
3scale, license_finder_xml_reporter, legal
kekstralia, kekistan-legal, legal
quanglam2807, us-statutes, legal
NoelShallum, SC_case_data, legal
justicehub-in, Justice-Hub, legal
youdecidetimes, covid-dystopia, legal
caimconsulting, caim-consulting-website, legal
justmars, statute-patterns, legal
leopheard, InstituteForJustice, legal
ekliao, EricLiaoDigitalGarden, legal
HYPXShoes, Legal, legal
HansB47, Decentraland-MANA, legal
outrightmental, privacy.outright.io, legal
goncalodamaso, jurisdiction-form, legal
Qubit-Hex, NFLD_LAW, legal
SergeiKriukov, bpmn-legal, legal
Bugendaitech, sf-Quickbook-Integration, legal
DanielFillol, laws, legal
HiZup, legal.hizup.com, legal
waltercai, court_opinion_summarization, legal
freight-trust, burgess, legal
p-unity, license, legal
ulysses-camara, ulysses-ner-br, legal
HerrDiesel, SN-search, legal
justmars, citation-date, legal
rastislavcore, cryptomining-license, legal
techlahoma, legal, legal
p-unity, license, legal
ulysses-camara, ulysses-ner-br, legal
HerrDiesel, SN-search, legal
justmars, citation-date, legal
rastislavcore, cryptomining-license, legal
CRS-Azure, AzuTrunk, legal
protokol, .github, legal
sugoku, osu-safety-tools, legal
Gasparms9, Project5-Cendoj-Scrapping-API, legal
diagrama42, 232-2023, legal
noczinski-com, noczinski.com, legal
oliviagallucci, warranty, legal
churlie-com, wdpr_priv_generator, legal
smartpatient-eu, smapa-jekyll-theme, legal
ni4os-europe, rolect-application, legal
laguileracl, derecho-chileno, legal
DAOlexa, womenw3mpower, legal
HerrDiesel, sygn-akt, legal
justmars, citation-utils, legal
anseljh, ca-pbc-docs, legal
ONode, jspdfcrawlersearchfarm, legal
eribbey, Write-Bates, legal
TeachBoost, brand, legal
legat-ai, www.legatai.com, legal
HerrDiesel, CBOSA-search, legal
jonahcastro, oneday, legal
jocabundus, toad-on-fire, legal
justmars, corpus-pax, legal
freight-trust, legal, legal
BoisBot, Legal, legal
BoisBot, Legal, legal
UniCourt, enterprise-api-py-sdk, legal
themanaworld, policies, legal
tianpai, LicenseGenie, legal
ActionProjects, Actions, legal
Chino1988, AplicandoSASS-EstudioJuridico-Nardecchia, legal
justmars, sqlpyd, legal
ka8725, agio, legal
MTco, law, legal
Gear61, Privacy-Policy, legal
REUL-Lab, iconographic, legal
aauxilio, Auxilio, legal
hugodscarvalho, drivtime, legal
PetarBozovic1, ECtHR-judgments-EN-CNR, legal
MeanPug, edwards-pottinger, legal
steltenpower, UnchokedNeighborhood, legal
nm17, drone-laws-in-russia, legal
rodmoioliveira, cnj, legal
SorenTech, legal, legal
code4romania, inlar, legal
Kimtron, foolKitMap, legal
justmars, corpus-x, legal
ukrainefield, legal-mumble-jumble, legal
montgomerykern, stevens-law-firm, legal
justmars, lawdata, legal
docusealco, docuseal, legaltech
securitybunker, databunker, legaltech
LexPredict, lexpredict-lexnlp, legaltech
ICLRandD, Blackstone, legaltech
freelawproject, courtlistener, legaltech
accordproject, template-archive, legaltech
betagouv, mon-entreprise, legaltech
LexPredict, lexpredict-contraxsuite, legaltech
microsoft, data-protection-mapping-project, legaltech
accordproject, ergo, legaltech
coastalcph, lex-glue, legaltech
accordproject, web-components, legaltech
