Retail Trade
User, Repo, Topic
frappe, erpnext, retail
shopizer-ecommerce, shopizer, retail
microsoft, forecasting, retail
doublechaintech, scm-biz-suite, retail
pbatard, Fido, retail
brakmic, BlockchainStore, retail
Tencent, tdesign-miniprogram-starter-retail, retail
papyrussolution, OpenPapyrus, retail
apinprastya, sultan, retail
practical-data-science, ecommercetools, retail
jsbots, AutoFish, retail
UplandsDynamic, simple-stock-management, retail
surgieboi, zyla, retail
Shreerang, Vue-Nuggets, retail
Gigacore, react-shopping-cart, retail
intelligent-retail, smart-store, retail
moqui, PopCommerce, retail
enghwa, ecommerce-shopfront-on-aws, retail
xiaoshengxianjun, retailMall, retail
vitorfs, bloodhound, retail
RasaHQ, retail-demo, retail
samirsaci, ml-forecast-features-eng, retail
Kkthnx-Wow, KkthnxUI, retail
Ashwinbicholiya, scanpay, retail
OpenXE-org, OpenXE, retail
FerasBasha, Forecasting-Retail-Sales-Using-Google-Trends-and-Machine-Learning, retail
BestBuyAPIs, bestbuy-cli, retail
Smile-SA, elasticsuite-for-retailer, retail
compumatrix, portal, retail
databricks-industry-solutions, product-search, retail
wardz, Diminish, retail
samirsaci, segmentation, retail
VadimMustyatsa, naakcii, retail
MarshalOfficial, SaleSystem, retail
holonk, retail-calendar, retail
NijatZeynalov, New-product-demand-forecasting-via-Content-based-learning-for-multi-branch-stores, retail
samirsaci, inventory-deterministic, retail
wardz, DRList-1.0, retail
kerberos-io, heatmap, retail
samirsaci, supply-planning, retail
samirsaci, inventory-stochastic, retail
cointastical, Physical-Locations-Bitcoin, retail
pskliff, vtb-data-fusion, retail
ciellosinc, FSC-PS, retail
brotherzhafif, SMERB, retail
SAP-archive, s4hana-retail-store-plugin-zebra-barcode, retail
pbiecek, xai_stories_2, retail
marcotav, machine-learning-regression-models, retail
samirsaci, product-segmentation, retail
aws-samples, computer-vision-retail-workshop, retail
imshibaji, StoreKeeper, retail
navassherif98, POS_Using_Excel, retail
loydcose, stylewise, retail
VadimGrigorev, project-free-Russian-retail, retail
MagePsycho, Magento2-Store-Restriction-Pro, retail
saurabhkaushik, CustomerChurn, retail
ManashJKonwar, ML-Retail-Sales, retail
adwansyed, Market-Basket-Analysis-Apriori, retail
eugenebelieve, marketplace-retail, retail
kriolos, kriolos-obiz, retail
Limmek, Shitlist, retail
ca1e, amiitool.net, retail
neo4j-graph-examples, get-started, retail
AyushiAsthana18, RFM-Analysis, retail
pizofreude, sku-generator, retail
yuown, yuventory, retail
predrag-jovicic, Stellar-Clothing-ASP.NET, retail
softbankrobotics-labs, pepper-code-scanner, retail
data-crat, Machine-Learning, retail
meet244, BillDesk, retail
DllDroid, Clone_i1D3, retail
trujamal, assess-swift, retail
samirsaci, procurement-management, retail
Fasust, FroYou, retail
mhertzfeld, NRF_MerchandisingCalendar, retail
Astrodynamic, RetailAnalitycs-in-postgresql, retail
asim5800, Retail-Sales-Prediction, retail
Sarmentor, InventoryManagement, retail
freight-trust, libinterchange, retail
supervisely-ecosystem, copy-image-tags-to-objects, retail
MarvinKweyu, marastore, retail
eugenebelieve, marketplace, retail
affilinet, mobile-sdk-advertiser-ios, retail
navassherif98, Website-4U_Mens_and_Sports, retail
iam-mhaseeb, EDA-on-Retail-Data, retail
samirsaci, sap-automation-po, retail
rgurlek, FAIRforecast, retail
UcGeorge, iAccount, retail
toretefre, kaching, retail
pedrocorma, retail-sales-forecasting, retail
loandangnt, women-clothing, retail
BenClementt, OpenPOS, retail
osa-decentralized, forecastonishing, retail
samirsaci, business-profitability, retail
Asikpalysik, Market-Basket-Analysis, retail
pianomister, SMAR, retail
stmunees, Taneira-Titan-Recommendation, retail
comonetizer, RetailEngineOS, retail
NielsMasdorp, LvBuddy, retail
databricks-industry-solutions, als-recommender, retail
TheMrityunjayPathak, RetailStoreSalesDashboard, retail
mateoricio, forecasting_retail_sales_PA, retail
chubbyyb, TRB-POS, retail
siddharthjn, nsaw, retail
dgluesen, wrangling-sales-workload, retail
wahidulalamriyad, Retail_Order_Management_System, retail
brunokatekawa, RossmannSales, retail
Vikrantnikumbhe, CRM_TMA, retail
V-Cyberpunk, TrinityCore-Dragonflight-Databases, retail
jacenko, HypeGirlsApp, retail
Shuvo-saha, Retail-Analytics-Showcase, retail
ferib, OTRWhisper, retail
SAP-samples, data-warehouse-cloud-fedml-retail-inventory, retail
06Reetu, Report-and-Dashboard-of-PowerBi, retail
datasith, ds-datasets-sku110k, retail
rmalongo, Wayfair-Data-Challenge-Babson-Hackathlon, retail
Huang9495, GSPN, retail
bagherig, walmart-forecasting, retail
BastinRobin, Data-Science-On-Action, retail
tspannhw, minifi-estimote, retail
jamesdinardo, Retail-Forecasting, retail
Digital-Footprints-Lab, sql4transepi, retail
samirsaci, sap-automation, retail
WiNiFiX, Clean-Mini-Map, retail
nicolasfguillaume, Carrefour-Hackathon-2016, retail
FoolWithCool, Vinted-Bot, retail
navassherif98, Dash_4U-Analysis, retail
jovi-s, supermarket-object-detection, retail
dtararuj, analiza_sprzedazy_like_for_like, retail
fat1nad, CJ-The-Gem-Series, retail
Horttcore, Custom-Post-Type-Retailer, retail
alishahlakhani, Tesco-Web-Scraper, retail
vigneshSs-07, Complete-AtoZ-MLProjects, retail
vsaahil, Revenue_Management_Retail_Markdown_Game_Strategy, retail
khushalt, ssp_india, retail
DllDroid, i1D3_DLLs, retail
dkdhub, dkd-outlet, retail
LeondraJames, MarketBasketAnalysis-MBA-, retail
chzwzrd, Bamazon, retail
RufinoMartin, Retail-Marketing-Analysis, retail
JianFengH, retail, retail
SamuelSousaFerreira, Analise-de-lojas-de-varejo, retail
zeyaddeeb, nrfcalendar, retail
osahp, forecastonishing, retail
mematron, ADAM, retail
nastiag67, online-retail-clustering, retail
KarynH, 9-2-Front-end-project, retail
supervisely-ecosystem, add-properties-to-image-from-csv, retail
Novik-data-analyst, Data-Analyst-career-portfolio-projects, retail
kaustavkoley, python-project-using-pandas, retail
nnvij, Superstore-Sales-Dashboard---Powerbi, retail
easonlai, market_basket_analysis_retail_sample, retail
darkbluein, user, retail
EnventureEnterprises, EnventureAndroid-MVP, retail
alishahlakhani, Mydin-ecommerce-store-data-scraper, retail
akshay-madar, amazon-customer-retail-analytics-solution, retail
ambientWave, Odoo-Retail-Store-With-Accounting-Integration, retail
pforret, retail.unlockdown.be, retail
gakas14, Online_Retail, retail
Rajil101, The-Sparks-Foundation, retail
SeifReda30, HM-Web-Scraping, retail
shreyanshissingh, ContossoRetailAnalysis, retail
nataljunior, Classifyingr-in-R, retail
stekarag, getPrice, retail
JazerBarclay, barbercrm, retail
oordenesg, retail_real_data, retail
RHEA211, SPARKS-FOUNDATION-TASK-7, retail
dtararuj, aplikacja_do_typowania_produktow_pod_zlecenia, retail
shrutibalan4591, Store-Sale-Prediction, retail
AmyCh4n, Population-vs-Retail, retail
jtc17, day-to-day, retail
SchillingEnterprises, Schilling-Interiors, retail
adesgautam, grocery_obj_detection, retail
Retail-Edge-Platform, Retail-Edge-Platform, retail
booleanhunter-tech-blog, e3-retail, retail
estorgio, StoreHelper, retail
dgop92, retail-tech-business-api, retail
jessearmenio, TulsaTrap, retail
leassis91, rossmann_store, retail
gigixoliva, distribuidora-oliva, retail
BracketNerd101, World_Bank_Landing_Page, retail
anacoxta, lojamonstra, retail
yoogun143, PUMA-Retail-Location-Opening, retail
john200x, merakiguestwifi, retail
immohsin, Magento2, retail
rht52x, rht52x, retail
Arpita-deb, Departmental_store_analysis_in_R, retail
ajaysaini-sgvu, ICICI-Appathon, retail
Vieper1, SEM-3-Retail-Stock-Manager-DBMS-project, retail
rajivgiri513, Desktop-POS-APP, retail
rymesaint, retas, retail
SamuelSousaFerreira, Breakfast-at-the-Frat-Time-Series-Analysis, retail
easonlai, customer_segmentation_with_rfm_k-means, retail
sudhirjagtap17, Top-Learnings, retail
ejpallippurath, sales-data-analysis, retail
sandeep540, costing-app, retail
smburdick, modular, retail
heatherannelynn, AppFactory-B2C, retail
dosrd, coinbasewrapperapi, retail
Ekas-118, TimCoRetailManager, retail
dinachoir, Churn-Report, retail
fractaldatalearning, instacart_recommendations, retail
simisola-ade, Data-Analytics-Project-, retail
jpradas1, Crawling_Engineer_Retail, retail
akpumacy, GRAIL, retail
rraisanr915, RaisaNurima-Data-Analyst-Portfolio, retail
benamrou, GOLDEYC, retail
samlaubscher, Boutique-Ado-Ecommerce, retail
jpoland00, Elite-A, retail
b0bcarlson, CARS-ABD-Converter, retail
dtararuj, analiza_koszykowa-market_basket_analysis, retail
b0bcarlson, batch, retail
alessiamonfardino22, WholeFoods, retail
haleyscomet1P, Retail-Microlearning, retail
amitrambaran, retail-store-dbms, retail
chichacha, retail_calendar_445, retail
convenience-org, age-vocab, retail
c0der4t, printkicker, retail
yhyeh, BLE-Clothing-Smartag, retail
Matcar02, AI-ML-Customer-segmentation, retail
Matcar02, HackatOw---A-study-into-an-asian-retailer, retail
darkbluein, apollo-server, retail
pforret, retail.unlockdown.be, retail
gakas14, Online_Retail, retail
Rajil101, The-Sparks-Foundation, retail
SeifReda30, HM-Web-Scraping, retail
cockpit-labs, CockpitCE, retail
comprocomputers, comprocomputers, retail
priyankaspatil, retail-site-mvp, retail
supervisely-ecosystem, group-reference-objects-into-batches, retail
atharvapathak, Sales_Forecasting_Project, retail
kristjandee, portfolio, retail
rodrigobercini, lstm-varejo-brasil, retail
teresaheidt, HeidtMoore, retail
riversidecoaching, emenu, retail
kerpa, Friterie, retail
mwadieh, walmart-stores-sales-analysis, retail
victor-cali, CycleShare, retail
PatMyron, data, retail
Priyankadev, djretail, retail
riversidecoaching, emenu, retail
kerpa, Friterie, retail
mwadieh, walmart-stores-sales-analysis, retail
victor-cali, CycleShare, retail
PatMyron, data, retail
BracketNerd101, World_Bank_Landing_Page, retail
anacoxta, lojamonstra, retail
yoogun143, PUMA-Retail-Location-Opening, retail
john200x, merakiguestwifi, retail
immohsin, Magento2, retail
rht52x, rht52x, retail
Arpita-deb, Departmental_store_analysis_in_R, retail
jtc17, day-to-day, retail
SchillingEnterprises, Schilling-Interiors, retail
Retail-Edge-Platform, Retail-Edge-Platform, retail
adesgautam, grocery_obj_detection, retail
booleanhunter-tech-blog, e3-retail, retail
mlanghinrichs, ion_csvs, retail
mohammad-akhlak-ansari, Retail-Discounting-System, retail
pvn-leo, pharmaceutical-retail-MS, retail
boostinwrx, tobacco-hut-centreville-2, retail
dtararuj, aplikacja_algorytm_automatyczne_MMKi, retail
dinachoir, CRM-Strategy-Development, retail
sandraabu, retail-analytics-dashboard, retail
Rose-njeru, Inventory-analysis, retail
cypherjonesgrey, cypherjonesgrey.github.io, retail
sthanhng, wideface.ai, retail
aliffiann, supermarket-sales, retail
sergeymitrichev, retailcrm-api-client, retail
asim5800, Online-Retail-Customer-Segmentation-, retail
jessearmenio, TulsaTrap, retail
dgop92, retail-tech-business-api, retail
gigixoliva, distribuidora-oliva, retail
leassis91, rossmann_store, retail
KristiBischoff, Clothing-Business-Analysis-Tableau-Dashboard, retail
DonnC, retail-simulation, retail
rifset, shopping-missions, retail
Arpita-deb, Sweet-Symphony-Dessert-Shop-SQL-Analysis, retail
it3xl, IT-Trade-2009, retail
m-paulus, merch_calendar, retail
destodasoftware, kately_api, retail
kamireddig, GetDailyRevenue, retail
kirolos-esmat, retail-company, retail
ukayaj620, Retail, retail
cpiccirilli1, GOODSPORTLTD, retail
simonchalder, StockManager, retail
gouravdidwania, Customer-Segmentation-in-Online-Retail, retail
suvkp, Sales-Time-Series-Forecasting, retail
easonlai, exploratory_data_analysis_retail_sample, retail
alessandraapds, Market_Intelligence, retail
UplandsDynamic, simple-stock-management, retail-data
Avinash793, FPGrowth-and-Apriori-algorithm-Association-Rule-Data-Mining, retail-data
klaudia-nazarko, rfm-analysis-python, retail-data
geffy, retailhero-recommender-solution, retail-data
neo4j-graph-examples, northwind, retail-data
joymnyaga, MarketBasketAnalysis-Apriori-Algorithm, retail-data
sawadogosalif, Trade_area_analysis, retail-data
mhertzfeld, NRF_MerchandisingCalendar, retail-data
Dorsa-Arezooji, Retail-Analytics, retail-data
rajat7570, Improving-Consumer-Retailer-Connectivity, retail-data
pareshg18, Customer-Segmentation, retail-data
RRighart, Retail, retail-data
iam-mhaseeb, EDA-on-Retail-Data, retail-data
shizakhalidi, Retail-Sales-Data-EDA, retail-data
Davidglezc, ML-Retail-Business, retail-data
stalhabukhari, ARC, retail-data
datasith, ds-datasets-sku110k, retail-data
Huang9495, GSPN, retail-data
dgluesen, wrangling-sales-workload, retail-data
RobyRiyanto, Machine-Learning-For-Retail, retail-data
AkhithaBabu, Retail-Sector, retail-data
EnventureEnterprises, EnventureAndroid-MVP, retail-data
hamin123, Market-Basket-Analysis-Example, retail-data
besunny95, Powerbi-project, retail-data
kumarUjjawal, retail_price_recommendation, retail-data
pallavitilloo, Descriptive-Data-Mining, retail-data
EconMaett, matthiassp.github.io, retail-data
RahulChugwani, retailSpace, retail-data
Soumith23, CustomerSegmentationAndTargeting, retail-data
pratikdaga12, DataAnalysis-for-ClothingStoreData, retail-data
phanvinh0526, Data-Warehouse, retail-data
limchiahooi, customer-segmentation-rfm, retail-data
indyfree, tailor, retail-data
kashamcrash, RFMmodeling, retail-data
CosmicRishi, Retail-Data-Analysis, retail-data
MuhammadEhsan02, Power_BI_Retail-Analysis, retail-data
sunilnita19, Retail-Data-Analysis, retail-data
saketgautam, Retail-Data-Analysis, retail-data
Sumit2514, Retail-sales-forecasting, retail-data
HeniMasmoudi, workshop, retail-data
skribl5000, ParserA_ru, retail-data
JamesN93, Excel-Data-Cleaning, retail-data
ltp111, customers_segment, retail-data
stephaniebernhard, retail_analytics, retail-data
saivivek7495, Retail-Price-Prediction-Hackathon-MachineHack-Competition, retail-data
Kish4869, Excel-Automation, retail-data
Barsha27, Retail_Analytics, retail-data
peter-abel, DATA-SCIENCE-PROJECT, retail-data
RAVI-CHANDRIKA-05, Customer-Segmentation-Unsupervised-Learning, retail-data
SanyaGoyal, Time-Series-Modelling, retail-data
nataljunior, Classifyingr-in-R, retail-data
oordenesg, retail_real_data, retail-data
haihapham, Supermarket-Sales-Analysis, retail-data
gswarge, pos_data_analysis, retail-data
shristigupta, Retail_Analytics_PySpark, retail-data
akashjain04, FPGrowthAlgorithm, retail-data
kamireddig, GetDailyRevenue, retail-data
haerinHong, Spain_Retail_Analysis, retail-data
easonlai, exploratory_data_analysis_retail_sample, retail-data
bizon, selling-partner-api-sdk, retail-analytics
chinmayeeguru, Olist-Customer-Purchase-Behaviour-Analysis, retail-analytics
whoisksy, data-analysis-on-retail-store-promotion, retail-analytics
huzaifakhan04, quantium-data-analytics-virtual-experience-program, retail-analytics
vinitshetty16, Quantium-Virtual-Internship, retail-analytics
Afnan-214, DSMethodology_WalmartAnalysis, retail-analytics
AlessandraMonaco, Visual-Analytics, retail-analytics
ishitaagl20, Retailyst, retail-analytics
samisaud, retail-customer-segmentation, retail-analytics
P1210, GRIP-Internship, retail-analytics
shrutibalan4591, Retail-Store-Customer-Segment-and-Sales-Analysis, retail-analytics
vijayrangvani, Olist-Customer-Purchase-Behaviour-Analysis, retail-analytics
esana1, retail-customer-segmentation, retail-analytics
sav1nbrave4code, RetailAnalistycsDB, retail-analytics
dmeoli, OnlineRetail, online-retail
easonlai, online_retail_product_recommendation_samples, online-retail
alifialistu, RFMAnalysis-KMeans, online-retail
HermawanHermawan, Optimizing-Retail-Revenue-in-SQL, online-retail
Otniel113, OnlineRetail, online-retail
Vzenun, DBMS-Online-Retail-Store-Project, online-retail
Fedorov-Artem, kaggle_OTTO, online-retail
SandraMoses, RFM-Analysis-for-Customer-Segmentation, online-retail
HermawanHermawan, optimize-retail-revenue, online-retail
aditiisaxena, FastFruits, online-retail
Otniel113, OnlineSalesBusiness, online-retail
abeltavares, online_retail_pyspark_analysis, online-retail
Sjoerdbijlsb, Thesis-project-price-premiums, online-retail
BestBuyAPIs, bestbuy-cli, retailer
ravicosoftltd, FreePOS, retailer
Mascerade, upm, retailer
SignatureBeef, AusStockChecker, retailer
alexandre-k, square-booking-app, retailer
SaiJeevanPuchakayala, Cashier, retailer
NiranjanStack, Customer-Behavior-Analysis-in-R-Shiny, retailer
MarksSoftwareGmbH, itk-shop, retailer
aleksejhoffaerber, SalesIntelligence, retailer
dilijev, guest-list-generator, retailer
ancor1369, fe-management-system, retailer
sadrulhossain, d-retail, retailer
Adithyan-R-K, My_Retailer, retailer
chuayaocong, e-commerce, retailer
ArupDas15, MajorProject, retailer
pedroroccon, in-stock, retailer
Jamie-GiHu, ETL-Project, retailer
FFnewbeees, music-player, retailer
Nachtalb, day-deals, retailer
Luisginan, pos-2011, retailer
erictam96, E-commerceRetailerFYP, retailers
abdulazeem-tk4vr, LIVEMart, retailers
diivyya, Agro-Tech, retailers
VincentBernet, Tirico-ShopCameraAnalytics, retailers
DanzTim, Graphics-Card-Website-Scraper---Australia, retailers
evelinesurbakti, Optimizing-Retail-Strategy-based-on-the-Pattern-of-Products-in-Groceries-Transactions, retailers
davidmensahedem, Rubix_R2cubid, retailers
gowthamrajk, Farmer-And-Retailer-Application, retailers
EagleDangar, BlackFriday-prediction, retailers
ajaysaini-sgvu, ICICI-Appathon, retailers
COMP231W21-G5, Mechanic-Checker, retailers
PatMyron, data, retailers
