Utilities
User, Repo, Topic
hubblo-org, scaphandre, electricity
klaasnicolaas, home-assistant-glow, electricity
hackerschoice, thc-tesla-powerwall2-hack, electricity
catalyst-cooperative, pudl, electricity
NREL-Sienna, PowerSimulations.jl, electricity
owid, energy-data, electricity
Electrical-Age, ElectricalAge, electricity
HandyHat, ha-hildebrandglow-dcc, electricity
bokub, linky, electricity
renewables-ninja, gsee, electricity
davidshepherd7, electric-operator, electricity
Alkia, electra, electricity
blue-marble, gridpath, electricity
NMF-earth, carbon-footprint, electricity
engineerjoe440, ElectricPy, electricity
Hywan, LaMaisonVivante, electricity
kamaradclimber, rte-ecowatt, electricity
JPHutchins, open-energy-view, electricity
jessehamner, TechMillForKids, electricity
rnovacek, homeassistant_cz_energy_spot_prices, electricity
singularity-energy, open-grid-emissions, electricity
m4rz910, NYISOToolkit, electricity
spine-tools, SpineOpt.jl, electricity
Nurgak, Internet-of-Things-Power-Meter, electricity
renewables-ninja, vwf, electricity
zhgqcn, awesome-NILM-with-code, electricity
neuralmind-ai, electricity-theft-detection-with-self-attention, electricity
lozzd, octopus-energy-rates-card, electricity
jrfernandes, ontario_energy_board, electricity
corneel27, day-ahead, electricity
luuuis, hass_omie, electricity
kathleenwest, Mixed-Integer-Linear-Programming-Example-Power-Systems-Analysis-A, electricity
git-kick, ioBroker.e3dc-rscp, electricity
ie3-institute, simona, electricity
piekarsky, Short-Term-Electricity-Price-Forecasting-at-the-Polish-Day-Ahead-Market, electricity
irena-flextool, flextool, electricity
sandeshbhatjr, energy-prediction, electricity
indyfree, ma-thesis, electricity
sdebruyn, inzight, electricity
LAMPSPUC, PWF.jl, electricity
cre-dev, pub-data-visualization, electricity
GreenScheduler, cats, electricity
zoilomora, iberdrola, electricity
schopenhauer, sage, electricity
voelkerb, powermeter, electricity
EmissionsIndex, Emissions-Index, electricity
fquinto, pywibeee, electricity
LLNL, ISO-DART, electricity
mx-e, microgrid_optimizer, electricity
VUB-HYDR, REVUB, electricity
zouhuidong, MinecraftRedstoneSimulator, electricity
gschivley, carbon-index, electricity
stromenergy, strom, electricity
NREL-Sienna, PowerFlows.jl, electricity
OSU-Sustainability-Office, energy-dashboard, electricity
rte-antares-rpackage, antaresRead, electricity
AndreCNF, ccai-ss23-ai-monitoring-tutorial, electricity
sp4c38, AWattPrice, electricity
calliope-project, solar-and-wind-potentials, electricity
balmli, no.almli.utilitycost, electricity
iquiw, smart-semicolon, electricity
Allow2, Allow2Automate, electricity
vrachieru, eon-api, electricity
srpraveen97, Electrical_Demand_Toronto, electricity
martynvandijke, Stargazer, electricity
ojarva, python-helen-electricity-usage, electricity
wri, ev-simulator, electricity
michaelkavanagh, elexon, electricity
neuralmind-ai, electricity_fraud_detection, electricity
catalyst-cooperative, pudl-catalog, electricity
ewoken, epex-spot-data, electricity
SheffieldSolar, Geocode, electricity
satwikkansal, smart_power, electricity
davedx, mars-power, electricity
FraserTooth, japan_grid_carbon_api, electricity
zero-one-group, global-coal-countdown, electricity
desenk, Electricity-Data-Pipeline, electricity
FUEL4EP, consumption_analysis, electricity
wilicw, resicolor, electricity
remoshock, remoshock, electricity
Ash515, ESEE-READER, electricity
OliverCullimore, geo-energy-data, electricity
WessexWater, chellow, electricity
renewables-ninja, datapackage_pv_wind_profiles, electricity
lucasgautheron, scenarios-rte-simulation, electricity
smartEnergyResearchLab, About, electricity
MrSunshyne, mauritius-dataset-electricity, electricity
nicholaskajoh, wp-energy-usage-calculator, electricity
bgunyel, electricity-demand-forecasting, electricity
DarioHett, entsoe-client, electricity
JaviSandoval94, Solar-Energy-Calculator, electricity
hectorespert, ree, electricity
catalyst-cooperative, ferc-xbrl-extractor, electricity
Boavizta, platypus, electricity
ibebbs, CODuo, electricity
giacfalk, M-LED, electricity
robhammond, home-analytics, electricity
bokub, conso-api, electricity
jeanmarc77, meterN, electricity
victor-aunon, CircuitSolver, electricity
Alexsimulation, circuit_solver, electricity
antoniosfiala, Electricity_clustering, electricity
Ash515, ElectroMation, electricity
tommytommytommy, electricity-models, electricity
Philipnah, Nordpool-dayahead-prices, electricity
Olli69, powerguru, electricity
asantaga, lightwaverf_HA_EnergySensor, electricity
niftimus, SparkMMS, electricity
UNSW-CEEM, TDA_Matlab, electricity
energy-hack, energy-hack.github.io, electricity
